nanoseconds,executed_shares,execution_price,match_number,order_number,price,shares,tracking_number,buysell_S,msg_type_E,msg_type_P,date
35257210312857,3.0,124.91,778563.0,34136906.0,124.91,3.0,2,0,1,0,20180301
35270989332212,2.0,124.88,788211.0,0.0,124.88,2.0,2,0,0,1,20180301
35296974695357,32.0,124.89,800717.0,0.0,124.89,32.0,2,0,0,1,20180301
35318591112387,15.0,125.02,809995.0,35083842.0,125.02,15.0,2,1,1,0,20180301
35318591112387,41.0,125.02,809996.0,35399350.0,125.02,41.0,4,1,1,0,20180301
35318591159163,100.0,125.03,809997.0,35178870.0,125.03,100.0,2,1,1,0,20180301
35318593858780,192.0,125.09,810003.0,35486210.0,125.09,192.0,2,1,1,0,20180301
35318594316670,100.0,125.1,810004.0,0.0,125.1,100.0,2,0,0,1,20180301
35329648665814,40.0,125.25,814925.0,35489150.0,125.25,40.0,2,1,1,0,20180301
35329648665814,40.0,125.25,814926.0,35683622.0,125.25,40.0,4,1,1,0,20180301
35329986020947,100.0,125.42,815580.0,35696718.0,125.42,100.0,2,1,1,0,20180301
35339919800673,40.0,125.39,820562.0,0.0,125.39,40.0,2,0,0,1,20180301
35341580976173,100.0,125.35,821254.0,0.0,125.35,100.0,2,0,0,1,20180301
35341580976173,98.0,125.33,821255.0,0.0,125.33,98.0,4,0,0,1,20180301
35341580976173,2.0,125.31,821256.0,35783434.0,125.31,100.0,6,0,1,0,20180301
35341581216192,98.0,125.31,821257.0,35783434.0,125.31,100.0,2,0,1,0,20180301
35341581216192,2.0,125.31,821258.0,35884470.0,125.31,100.0,4,0,1,0,20180301
35341581217727,98.0,125.31,821259.0,35884470.0,125.31,100.0,2,0,1,0,20180301
35341581217727,2.0,125.31,821260.0,0.0,125.31,2.0,4,0,0,1,20180301
35341581232218,98.0,125.31,821261.0,0.0,125.31,98.0,2,0,0,1,20180301
35341581336482,98.0,125.26,821262.0,35832982.0,125.26,100.0,2,0,1,0,20180301
35341582038014,2.0,125.26,821263.0,35832982.0,125.26,100.0,2,0,1,0,20180301
35341632919108,65.0,125.3,821316.0,0.0,125.3,65.0,2,0,0,1,20180301
